Model,Class_ID,Class_Name,Precision,Recall,mAP50,mAP50-95
RTDETR_L_150epochs,59,cinnamon,0.9633464907810225,0.8986486486486487,0.8943382352941176,0.6865301948603844
YOLO26s_150epochs,59,cinnamon,0.9156203328542246,0.8513513513513513,0.8726935639910209,0.6516553511758781
RTDETR_L_150epochs,60,clam,0.9839640279562107,0.9383561643835616,0.9529354838709678,0.7379102887777902
YOLO26s_150epochs,60,clam,0.9780129247349661,0.914010990095636,0.9238136953519913,0.744070266590331
RTDETR_L_150epochs,61,clove,0.9914667877067808,0.8670930677598175,0.8845790960451978,0.669296692707863
YOLO26s_150epochs,61,clove,0.9673728633438557,0.8432835820895522,0.8629401566441436,0.670704059081401
RTDETR_L_150epochs,62,coconut,0.9830201769885508,0.9424460431654677,0.9445454545454546,0.6984095053707395
YOLO26s_150epochs,62,coconut,0.9785857945857859,0.8848920863309353,0.9228161003170328,0.692788856407885
RTDETR_L_150epochs,63,coconut_oil,0.9844074517388317,0.9284405996749605,0.9442346175516311,0.7588808314495339
YOLO26s_150epochs,63,coconut_oil,0.9839167588950533,0.8996682458578112,0.9045147967479674,0.7464465197206172
RTDETR_L_150epochs,64,cod,1.0,0.8937757025409254,0.9146376811594203,0.6660277689046891
YOLO26s_150epochs,64,cod,0.9523324705512972,0.8210461314873653,0.8518394660113331,0.5905696327600075
RTDETR_L_150epochs,65,coffee,0.920111627758427,0.8161764705882353,0.830227047360441,0.5900844802765707
YOLO26s_150epochs,65,coffee,0.8895752704890062,0.7794117647058824,0.8147820084784456,0.5796441054125405
RTDETR_L_150epochs,66,collard_green,0.9955430678916359,0.9577464788732394,0.9550000000000001,0.7069257524432253
YOLO26s_150epochs,66,collard_green,0.9852668037012259,0.9418961829383997,0.9537363980224849,0.6784064374965462
RTDETR_L_150epochs,67,coriander,0.9588198433981125,0.8680555555555556,0.8730406587364496,0.6524808490479346
YOLO26s_150epochs,67,coriander,0.9664656585311856,0.8005722288634198,0.8805508578427576,0.6628527217861901
RTDETR_L_150epochs,68,corn,1.0,0.9538300025971375,0.9550000000000001,0.6889741938868785
YOLO26s_150epochs,68,corn,0.9850262364626086,0.9019607843137255,0.9336450039968026,0.6686559567236906
RTDETR_L_150epochs,69,corn_grit,0.9832718300797212,0.8943661971830986,0.9039359595070423,0.7096895608935496
YOLO26s_150epochs,69,corn_grit,0.9967321872901339,0.8591549295774648,0.9038663823738451,0.6801967603755709
RTDETR_L_150epochs,70,cornmeal,1.0,0.9290422171993504,0.925,0.7674290592096255
YOLO26s_150epochs,70,cornmeal,0.9745158572767412,0.9084507042253521,0.9241838572779386,0.7653724593092439
RTDETR_L_150epochs,71,couscouscucumber,0.9856348099392447,0.920984568515775,0.9248571428571429,0.700912997800868
YOLO26s_150epochs,71,couscouscucumber,0.9717053490147544,0.9219538556600869,0.9342995169082127,0.6855936464863022
RTDETR_L_150epochs,72,crab,0.9906353860942569,0.9214285714285714,0.9247692307692308,0.7149212923291004
YOLO26s_150epochs,72,crab,0.9594606896858411,0.845277770126354,0.8825169383992915,0.6370503882161518
