raw_name,normalized_name
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
brussels sprouts,brussels_sprout
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
bok choy,bok_choy
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
radicchio,radicchio
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
savoy cabbage,savoy_cabbage
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
mustard greens,mustard_green
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
watercress,watercress
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
onion,onion
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
garlic,garlic
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
leek,leek
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
shallot,shallot
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
chive,chive
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
ramps,ramp
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
pearl onion,pearl_onion
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
celery,celery
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
asparagus,asparagus
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
rhubarb,rhubarb
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
fennel,fennel
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
kohlrabi,kohlrabi
