==========================================
   DATASET CLASS DISTRIBUTION REPORT
==========================================

--- SPLIT: TRAIN ---
Tổng số ảnh: 25000
Tổng số vật thể (instances): 165876
ID    | Class Name                | Count   
49    | cherimoya                 | 136     
50    | cherry                    | 112     
51    | chia                      | 134     
52    | chicken                   | 144     
53    | chicken_breast            | 138     
54    | chicken_thigh             | 131     
55    | chickpea                  | 134     
56    | chili_pepper              | 139     
57    | chili_sauce               | 137     
58    | chive                     | 131     
59    | cinnamon                  | 136     
60    | clam                      | 149     
61    | clove                     | 139     
62    | coconut                   | 130     
63    | coconut_oil               | 135     
64    | cod                       | 134     
65    | coffee                    | 124     
66    | collard_green             | 132     
67    | coriander                 | 132     
68    | corn                      | 120     
69    | corn_grit                 | 135     
70    | cornmeal                  | 119     
71    | couscouscucumber          | 135     
72    | crab                      | 145     
73    | cracked_wheat             | 128     
74    | cranberry                 | 128     
75    | cucumber                  | 147     
76    | cumin                     | 133     
77    | daikon                    | 152     
78    | deer                      | 143     
79    | dragon_fruit              | 129     
80    | duck                      | 133     
81    | dumpling_wrapper          | 135     
82    | durian                    | 139     
83    | egg                       | 138     
84    | einkorn                   | 137     
85    | elderberry                | 136     
86    | elk                       | 130     
87    | emmer                     | 130     
88    | farfalle                  | 129     
89    | farro                     | 124     
90    | fava_bean                 | 131     
91    | fennel                    | 124     
92    | fettuccine                | 135     
93    | fish_sauce                | 138     
94    | flaxseed_oil              | 140     
95    | flour                     | 129     
96    | freekeh                   | 135     
97    | fruit_cocktail            | 142     
98    | fusilli                   | 136     
99    | garlic                    | 134     
100   | garlic_bulb               | 137     
101   | ginger                    | 133     
102   | glass_noodle              | 138     
103   | goat                      | 152     
104   | goji_berry                | 123     
105   | goose                     | 134     
106   | grapefruit                | 135     
107   | grapeseed_oil             | 129     
108   | green_bean                | 154     
109   | green_onion               | 152     
110   | grouse                    | 131     
111   | guava                     | 130     
112   | guinea_fowl               | 146     
113   | haddock                   | 135     
114   | ham                       | 133     
115   | horseradish               | 149     
116   | huckleberry               | 138     
117   | jackfruit                 | 140     
118   | kale                      | 141     
119   | kamut                     | 125     
120   | kidney_bean               | 129     
121   | kiwi                      | 141     
122   | kohlrabi                  | 136     
