epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,5200.16,0.90486,0.745,1.22665,0.66412,0.49584,0.55399,0.32317,1.64552,1.63834,2.14886,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5300.19,0.90005,0.7412,1.22918,0.60961,0.51717,0.55988,0.33458,1.62219,1.59207,2.12097,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5400.37,0.88619,0.72737,1.21845,0.6186,0.51075,0.53658,0.31269,1.62021,1.63207,2.13413,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5499.05,0.88024,0.72401,1.21332,0.67839,0.4926,0.55161,0.32522,1.61447,1.63302,2.12587,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5598.51,0.86219,0.70525,1.20416,0.63854,0.51623,0.55562,0.33121,1.60787,1.60236,2.12892,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5700.78,0.86466,0.71396,1.20616,0.66377,0.4958,0.55595,0.33057,1.60848,1.62166,2.13476,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5808.63,0.85555,0.69782,1.20074,0.68002,0.49916,0.54788,0.32127,1.62456,1.60972,2.15339,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5905.28,0.83524,0.66868,1.18183,0.66651,0.50705,0.56903,0.33922,1.61074,1.59687,2.14494,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6002.26,0.83283,0.66283,1.18171,0.66376,0.49387,0.58248,0.34393,1.61487,1.61511,2.15844,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6101.13,0.81961,0.65821,1.17625,0.59989,0.53186,0.56779,0.33445,1.62215,1.61999,2.18134,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6199.49,0.81382,0.66289,1.17271,0.64225,0.51884,0.56635,0.33373,1.5835,1.62125,2.15117,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6308.44,0.81455,0.65777,1.17775,0.66473,0.51155,0.56339,0.33616,1.59772,1.61002,2.16327,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6415.99,0.79853,0.64183,1.16259,0.61593,0.53015,0.56639,0.34334,1.58909,1.60712,2.16411,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6513.07,0.78778,0.62969,1.15289,0.66843,0.48617,0.56298,0.34143,1.58169,1.61219,2.16048,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6610.06,0.78386,0.62235,1.15336,0.68788,0.48624,0.56699,0.34022,1.57131,1.59843,2.15594,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6715.33,0.77303,0.6184,1.14902,0.63796,0.51112,0.56744,0.34185,1.55984,1.59167,2.15185,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6810.15,0.76951,0.61871,1.14488,0.65189,0.50361,0.57105,0.34524,1.55659,1.57591,2.14547,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6908.39,0.76374,0.61097,1.14101,0.68585,0.46938,0.56645,0.342,1.56029,1.59079,2.14465,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7005.93,0.75433,0.60303,1.13452,0.62522,0.50807,0.57306,0.34061,1.55697,1.59091,2.13961,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7121.77,0.74755,0.5918,1.12883,0.72049,0.46007,0.559,0.33947,1.55801,1.61786,2.15335,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7228.72,0.73462,0.58569,1.11901,0.5746,0.53415,0.55987,0.34192,1.55758,1.59121,2.15477,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7325.59,0.73025,0.57596,1.11873,0.57537,0.54203,0.5729,0.34452,1.55587,1.61296,2.1609,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7421.79,0.72679,0.57516,1.11622,0.65831,0.48407,0.56163,0.33975,1.55925,1.63765,2.17061,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7518.12,0.71784,0.56783,1.1099,0.69019,0.47797,0.56995,0.34311,1.54854,1.62799,2.17035,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7622.47,0.71266,0.56032,1.11136,0.63024,0.51195,0.57357,0.34479,1.56155,1.60267,2.18604,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7729.83,0.70302,0.55175,1.09989,0.63364,0.51735,0.56542,0.3436,1.55345,1.61348,2.17908,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7836.22,0.70155,0.55494,1.10384,0.63988,0.51532,0.56756,0.3458,1.5509,1.61478,2.17741,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7938.73,0.69348,0.54971,1.10185,0.68908,0.47249,0.56309,0.34678,1.53667,1.61537,2.1828,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8042.7,0.69298,0.54226,1.10481,0.68199,0.46964,0.55588,0.34542,1.52544,1.61787,2.16833,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8145.21,0.68038,0.53451,1.09207,0.67329,0.47279,0.55058,0.34372,1.52959,1.63521,2.1756,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8248.71,0.67683,0.52343,1.08691,0.65872,0.49677,0.55547,0.34496,1.528,1.62734,2.17936,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8358.51,0.66769,0.52259,1.08317,0.63757,0.50352,0.56093,0.3488,1.52447,1.6393,2.17566,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8456.17,0.66178,0.52446,1.08111,0.62317,0.52494,0.56664,0.35081,1.52303,1.63666,2.18375,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8558.67,0.6547,0.51171,1.07683,0.6708,0.49607,0.57056,0.35044,1.52565,1.61215,2.19476,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8674.03,0.64475,0.50472,1.07544,0.66691,0.50691,0.57142,0.34865,1.52259,1.62312,2.18796,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8776.7,0.64636,0.50768,1.0795,0.65774,0.51253,0.56658,0.34959,1.52546,1.61496,2.19676,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8883.42,0.63088,0.49349,1.06573,0.64006,0.51676,0.5654,0.34668,1.5244,1.61445,2.19554,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8991.42,0.62772,0.4894,1.06195,0.65778,0.5073,0.57016,0.34797,1.52137,1.61562,2.19403,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9092.27,0.62963,0.49302,1.06446,0.64098,0.51246,0.56133,0.34748,1.51795,1.62258,2.1935,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9206.09,0.61978,0.49499,1.05967,0.63795,0.51498,0.56163,0.34694,1.51068,1.62776,2.18979,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9312.02,0.61045,0.47899,1.05696,0.64137,0.50984,0.56312,0.34915,1.50558,1.62565,2.19338,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9426.53,0.6132,0.4764,1.05376,0.62637,0.52179,0.56643,0.35081,1.50328,1.62235,2.19338,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9527.98,0.60332,0.47138,1.04696,0.6514,0.5072,0.57057,0.35268,1.50424,1.62934,2.19872,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9654.16,0.50465,0.35299,1.01742,0.63846,0.51023,0.57071,0.35523,1.50013,1.61286,2.19782,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9758.56,0.47749,0.32451,0.99626,0.60183,0.5338,0.57565,0.35638,1.49893,1.60871,2.20241,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9856.72,0.46897,0.30603,0.99382,0.64853,0.50383,0.57112,0.35849,1.49853,1.60992,2.20825,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9956.98,0.45882,0.30174,0.98396,0.64715,0.49551,0.56506,0.35624,1.49754,1.61009,2.21317,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,10056.6,0.45188,0.30323,0.98055,0.64845,0.49152,0.56122,0.35469,1.49891,1.61362,2.22206,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,10166.2,0.43718,0.29058,0.9695,0.6523,0.49139,0.55803,0.35239,1.49669,1.6229,2.22489,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,10286.7,0.43122,0.28629,0.96381,0.67625,0.48678,0.55963,0.35291,1.49661,1.62464,2.23317,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10397.8,0.43302,0.29047,0.96928,0.68703,0.48575,0.56165,0.35436,1.49476,1.62115,2.23661,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10509.9,0.41797,0.27345,0.95888,0.69053,0.48501,0.56146,0.35449,1.49504,1.62288,2.24383,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10608.4,0.41619,0.28015,0.95825,0.68035,0.48675,0.56017,0.35464,1.49604,1.62433,2.249,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
